               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.030696,            0.013513,            0.010918,             0.90016,             0.93938,             0.93229,             0.54321,            0.016381,           0.0041618,           0.0027478,           0.0085942,           0.0085942,           0.0085942
                  73,            0.025217,            0.013475,            0.010056,             0.85883,             0.93713,             0.89918,             0.57692,            0.016112,           0.0042467,           0.0030651,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028934,            0.012705,           0.0093086,             0.89187,             0.93665,             0.95392,             0.61557,            0.016441,           0.0040962,           0.0021189,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028114,            0.012571,           0.0080889,             0.93561,             0.93964,              0.9587,             0.64739,            0.015943,           0.0036417,           0.0022213,           0.0085348,           0.0085348,           0.0085348
                  76,            0.026166,            0.012701,           0.0079166,             0.92133,             0.93892,             0.96401,             0.64638,             0.01499,           0.0037643,           0.0023308,            0.008515,            0.008515,            0.008515
                  77,            0.028558,            0.013596,           0.0082453,             0.88783,             0.93746,             0.95857,             0.62801,            0.015089,           0.0038345,           0.0040348,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032331,            0.012228,           0.0073805,             0.83312,             0.85938,             0.91892,             0.57561,            0.016084,           0.0039729,            0.010483,           0.0084754,           0.0084754,           0.0084754
                  79,            0.029528,            0.012833,            0.012813,             0.89825,             0.92672,             0.94406,             0.60671,            0.016382,           0.0039634,           0.0025302,           0.0084556,           0.0084556,           0.0084556
                  80,            0.028681,            0.012605,           0.0090368,             0.86285,             0.95411,             0.95066,              0.6199,            0.015446,           0.0038005,           0.0028469,           0.0084358,           0.0084358,           0.0084358
                  81,            0.031067,            0.013864,           0.0098352,             0.88435,             0.93243,             0.91796,              0.5932,            0.017237,            0.004162,           0.0038196,            0.008416,            0.008416,            0.008416
                  82,             0.03037,            0.013164,            0.014499,             0.87412,              0.9344,             0.93534,             0.60002,             0.01934,            0.004267,           0.0045153,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027812,             0.01282,           0.0099431,             0.86064,             0.93243,             0.93902,              0.5863,            0.019051,            0.004274,           0.0052594,           0.0083764,           0.0083764,           0.0083764
                  84,            0.027951,            0.012738,            0.012173,             0.86003,             0.91967,             0.92194,             0.61867,            0.019112,           0.0040038,           0.0053721,           0.0083566,           0.0083566,           0.0083566
                  85,            0.030989,            0.013376,            0.013908,             0.85241,             0.89713,             0.93336,             0.56409,            0.019989,           0.0047875,           0.0031201,           0.0083368,           0.0083368,           0.0083368
                  86,            0.028234,            0.012371,            0.009804,             0.85406,             0.92544,             0.95327,             0.53425,            0.019923,           0.0046226,           0.0023578,            0.008317,            0.008317,            0.008317
                  87,            0.027686,            0.013148,             0.01122,             0.93805,             0.93168,             0.94621,             0.57976,            0.017215,           0.0043799,           0.0015718,           0.0082972,           0.0082972,           0.0082972
                  88,            0.028789,            0.013478,            0.009796,             0.92742,             0.95871,             0.97345,             0.59956,            0.016504,           0.0042594,           0.0015262,           0.0082774,           0.0082774,           0.0082774
                  89,            0.026717,            0.012351,           0.0097719,             0.94482,              0.9709,             0.95349,             0.61945,            0.015507,           0.0040046,           0.0022394,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026651,            0.012607,           0.0099088,             0.92716,             0.96341,             0.96015,             0.64477,            0.014978,           0.0039556,           0.0027975,           0.0082378,           0.0082378,           0.0082378
                  91,            0.033766,            0.013364,           0.0095743,             0.90401,             0.94595,             0.95167,             0.60808,             0.01585,           0.0038441,           0.0043521,            0.008218,            0.008218,            0.008218
                  92,            0.025691,            0.012165,            0.011376,             0.91002,             0.91948,             0.95803,             0.63932,            0.017048,           0.0037381,           0.0030786,           0.0081982,           0.0081982,           0.0081982
                  93,            0.028459,            0.012014,            0.010518,             0.87504,             0.93789,             0.94278,             0.61347,            0.016017,           0.0039014,           0.0026114,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028269,            0.012886,            0.011881,             0.90934,             0.92944,             0.96449,             0.60523,            0.016191,           0.0041164,           0.0028971,           0.0081586,           0.0081586,           0.0081586
                  95,            0.024395,            0.012207,           0.0076989,             0.90861,             0.91892,              0.9401,             0.56714,            0.016418,             0.00438,           0.0045023,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029023,             0.01184,            0.010328,             0.93712,             0.93874,             0.97112,             0.59095,            0.019392,           0.0039476,           0.0025348,            0.008119,            0.008119,            0.008119
                  97,            0.030765,            0.012942,            0.011697,             0.94251,             0.97297,              0.9667,             0.63529,            0.015486,            0.004179,           0.0020158,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025941,            0.011884,           0.0065524,             0.90701,             0.98433,             0.97072,             0.64359,            0.015704,           0.0043101,           0.0026595,           0.0080794,           0.0080794,           0.0080794
                  99,            0.028745,            0.012784,           0.0094485,             0.83812,             0.97297,             0.94762,             0.60723,            0.016513,           0.0038398,           0.0031896,           0.0080596,           0.0080596,           0.0080596
                 100,            0.028631,            0.012723,           0.0085118,             0.82728,             0.88964,             0.89847,             0.60963,            0.016105,           0.0035396,            0.005008,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032015,            0.012104,           0.0091248,             0.84963,             0.90465,             0.90427,             0.60552,             0.01596,           0.0035708,           0.0050926,             0.00802,             0.00802,             0.00802
                 102,            0.025186,            0.012015,           0.0088376,             0.83691,             0.91748,             0.91219,             0.58256,            0.016795,           0.0036523,           0.0059986,           0.0080002,           0.0080002,           0.0080002
                 103,            0.028113,            0.012786,            0.011031,             0.89689,             0.91272,             0.95604,              0.6282,            0.015825,           0.0036975,           0.0052648,           0.0079804,           0.0079804,           0.0079804
                 104,            0.022833,            0.010748,           0.0099628,             0.85088,             0.93235,             0.90863,             0.56346,            0.016779,           0.0042717,           0.0054023,           0.0079606,           0.0079606,           0.0079606
                 105,            0.024593,             0.01272,           0.0071616,             0.90517,             0.98649,             0.97904,             0.64127,            0.015926,           0.0040256,           0.0018922,           0.0079408,           0.0079408,           0.0079408
                 106,            0.027813,            0.012552,             0.01096,             0.86709,             0.95837,             0.95477,             0.55453,            0.019446,           0.0048802,           0.0027534,            0.007921,            0.007921,            0.007921
                 107,             0.02508,            0.012941,           0.0097629,             0.93811,             0.94444,             0.98311,             0.62738,            0.016412,           0.0039912,           0.0017166,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030162,            0.013328,           0.0098602,             0.97317,             0.88204,             0.97559,             0.63855,            0.015379,           0.0039209,           0.0016396,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024376,            0.011812,            0.010163,             0.82514,             0.95871,             0.93489,             0.56568,            0.016024,           0.0042908,           0.0024599,           0.0078616,           0.0078616,           0.0078616
                 110,            0.030857,            0.012313,            0.011938,             0.86119,             0.92369,              0.9248,             0.56303,            0.016031,           0.0043122,           0.0039578,           0.0078418,           0.0078418,           0.0078418
                 111,            0.025374,            0.013101,            0.013883,             0.84688,             0.96413,             0.94147,             0.63938,            0.014326,           0.0036805,           0.0027199,            0.007822,            0.007822,            0.007822
                 112,             0.02642,            0.011903,            0.010947,             0.88514,             0.89813,             0.92819,             0.59391,            0.016774,           0.0039494,           0.0034538,           0.0078022,           0.0078022,           0.0078022
                 113,            0.023979,            0.012231,            0.011048,             0.93407,             0.90679,             0.95126,             0.59667,            0.015962,           0.0038738,           0.0028289,           0.0077824,           0.0077824,           0.0077824
                 114,            0.026945,            0.012397,            0.011438,             0.94537,             0.94611,             0.97726,             0.65627,            0.015252,           0.0034685,           0.0025362,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026503,            0.012251,            0.010664,               0.933,             0.94595,              0.9742,             0.65739,            0.015255,           0.0033972,            0.002399,           0.0077428,           0.0077428,           0.0077428
                 116,            0.023574,            0.012703,           0.0088925,             0.91532,             0.91741,             0.94646,             0.62156,            0.015617,           0.0034582,           0.0027016,            0.007723,            0.007723,            0.007723
                 117,            0.026254,            0.012625,            0.009282,             0.87671,             0.93797,             0.96219,             0.63798,             0.01496,           0.0034296,           0.0029889,           0.0077032,           0.0077032,           0.0077032
                 118,            0.026076,            0.011865,           0.0091237,             0.90622,             0.88372,             0.95694,             0.65074,             0.01494,           0.0034831,           0.0028627,           0.0076834,           0.0076834,           0.0076834
                 119,            0.027081,            0.011304,           0.0083697,             0.93338,             0.94444,              0.9521,              0.6512,            0.015917,           0.0033989,           0.0023704,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026118,            0.012303,           0.0071663,             0.94454,             0.93821,             0.95939,             0.65128,            0.015724,           0.0034989,            0.002035,           0.0076438,           0.0076438,           0.0076438
                 121,            0.022305,            0.011614,           0.0065813,             0.93505,             0.93612,             0.95698,             0.61635,            0.015545,           0.0036941,            0.001996,            0.007624,            0.007624,            0.007624
                 122,            0.027671,            0.012328,            0.010549,             0.94084,             0.88843,             0.96209,             0.59801,            0.019398,            0.003821,            0.001934,           0.0076042,           0.0076042,           0.0076042
                 123,            0.026563,            0.012141,           0.0076266,               0.922,             0.98928,             0.98276,             0.64066,            0.016038,           0.0037473,           0.0014766,           0.0075844,           0.0075844,           0.0075844
                 124,            0.022276,            0.011999,           0.0072741,             0.92987,             0.89746,             0.97586,             0.62992,            0.018055,           0.0038121,           0.0026749,           0.0075646,           0.0075646,           0.0075646
                 125,            0.032053,            0.013069,           0.0095277,             0.84936,             0.90595,             0.92887,             0.55987,            0.019165,           0.0041745,           0.0057318,           0.0075448,           0.0075448,           0.0075448
                 126,            0.025882,            0.012659,           0.0082826,             0.88412,             0.80182,             0.93103,             0.51504,            0.022267,           0.0049886,           0.0035079,            0.007525,            0.007525,            0.007525
                 127,            0.027204,            0.013211,            0.012354,             0.81559,             0.90315,             0.91568,             0.58408,            0.017748,            0.003863,           0.0034156,           0.0075052,           0.0075052,           0.0075052
                 128,             0.02309,            0.012056,           0.0099722,             0.82128,               0.905,             0.94186,             0.55305,            0.019882,           0.0044184,           0.0036027,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025186,            0.013002,           0.0097105,              0.8434,             0.82282,             0.88186,             0.53607,            0.017767,           0.0046051,           0.0042476,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030139,            0.012416,            0.010456,             0.82029,             0.91457,              0.9152,             0.56518,            0.016051,           0.0043847,           0.0040768,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025567,             0.01307,            0.011016,             0.82298,             0.97021,             0.95591,              0.6364,            0.014936,           0.0039651,           0.0032459,            0.007426,            0.007426,            0.007426
                 132,             0.02449,            0.012058,            0.011153,             0.91189,             0.90465,             0.94924,             0.64315,            0.015077,           0.0039757,           0.0034158,           0.0074062,           0.0074062,           0.0074062
                 133,            0.024141,            0.012291,           0.0090112,             0.87107,             0.92762,             0.92904,             0.63121,            0.016312,           0.0039804,           0.0044641,           0.0073864,           0.0073864,           0.0073864
                 134,            0.024575,            0.012197,            0.010981,             0.87161,             0.93243,             0.91518,             0.61498,            0.016662,           0.0038325,           0.0047711,           0.0073666,           0.0073666,           0.0073666
                 135,            0.024796,            0.011464,             0.00832,             0.87716,             0.95874,             0.92553,             0.62309,            0.017811,           0.0035588,           0.0041835,           0.0073468,           0.0073468,           0.0073468
                 136,            0.026844,            0.012073,           0.0092878,             0.82798,             0.93168,             0.92533,             0.60622,            0.016828,           0.0036831,           0.0037563,            0.007327,            0.007327,            0.007327
                 137,            0.021303,            0.012345,           0.0071507,             0.82731,             0.92134,             0.92783,             0.59431,            0.016997,           0.0037339,           0.0035863,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027515,             0.01231,            0.008315,             0.87169,             0.93093,             0.93696,             0.60932,            0.015928,           0.0038309,           0.0037963,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024807,            0.011426,            0.009025,             0.85437,             0.93168,             0.93093,             0.64704,            0.016025,           0.0035963,           0.0039555,           0.0072676,           0.0072676,           0.0072676
                 140,            0.022684,            0.012258,           0.0066861,             0.81457,               0.941,             0.92304,             0.63718,            0.016699,           0.0035508,           0.0043397,           0.0072478,           0.0072478,           0.0072478
                 141,            0.026025,            0.012463,            0.011439,             0.89443,             0.87369,             0.93578,             0.63353,            0.018609,           0.0037705,           0.0063169,            0.007228,            0.007228,            0.007228
                 142,            0.024456,            0.012262,            0.010835,             0.90879,             0.86684,             0.88887,             0.59944,              0.0171,           0.0034344,           0.0045127,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021028,            0.012094,           0.0062422,             0.90506,             0.88288,             0.89742,             0.62333,            0.014718,           0.0033665,            0.003834,           0.0071884,           0.0071884,           0.0071884
